DblLatitud|DblLongitud|DblPrecio|DtmFechaConsulta|DtmFechaExtraccion|IntAdultos|IntCategoria|IntDuracion|IntIdFuente|IntIdLocalidad|IntNinos|StrAlojamiento|StrEmpresa|StrFuente|StrLocalidad|StrNombreHotel|StrTipoHabitacion|_id
40.3971|-3.7955|201.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Eurostars Ihotel|Standard Room|5bfc4f56f44f319b3ffe547c
40.4706|-3.7684|159.77|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Eurostars Zarzuela Park Hotel|Standard Room|5bfc4f56f44f319b3ffe547d
40.416|-3.6996|619.22|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Inglés Hotel|Double Deluxe|5bfc4f56f44f319b3ffe547e
40.4491|-3.5823|159.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Axor Barajas|Standard Room|5bfc4f56f44f319b3ffe547f
40.4626|-3.6158|204.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Pullman Madrid Airport And Feria Hotel|Superior Room|5bfc4f56f44f319b3ffe5480
40.4625|-3.6146|196.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Novotel Madrid Campo De Las Naciones Hotel|Superior Room|5bfc4f56f44f319b3ffe5481
40.48807|-3.66854|140.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Occidental Castellana Norte|Superior Room|5bfc4f56f44f319b3ffe5482
40.4482|-3.5823|135.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Axor Feria|Standard Room|5bfc4f56f44f319b3ffe5483
40.31694|-3.7414|113.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Exe Getafe|Standard Room|5bfc4f56f44f319b3ffe5484
40.4429|-3.6478|198.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Artiem Madrid|Economy Room|5bfc4f56f44f319b3ffe5485
40.4493|-3.5581|161.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Madrid Marriott Auditorium Hotel & Conference Center|Premium Room|5bfc4f56f44f319b3ffe5486
40.3198|-3.732|130.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|B&B Hotel Getafe|Standard Room, 1 Double Bed|5bfc4f56f44f319b3ffe5487
40.3296|-3.7636|89.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Tryp Leganes Hotel|Tryp Room|5bfc4f56f44f319b3ffe5488
40.5372|-3.6349|140.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Villa Alcobendas|Triple Standard|5bfc4f56f44f319b3ffe5489
40.3508|-3.8461|141.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|NH Alcorcon Hotel|Standard Room|5bfc4f56f44f319b3ffe548a
40.4586|-3.5823|126.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Senator Barajas|Double Room (Without Breakfast)|5bfc4f56f44f319b3ffe548b
40.4123|-3.7025|300.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|1|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hostal Numancia|Quadruple Room|5bfc4f56f44f319b3ffe548c
40.3083|-3.7306|141.29|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Carlos III Hotel|Double/Twin (2 Pers)|5bfc4f56f44f319b3ffe548d
40.465|-3.7861|193.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Aravaca Village|Double (Twin/Double) Standard|5bfc4f56f44f319b3ffe548e
40.4691|-3.5803|204.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Tryp Alameda Aeropuerto Hotel|Tryp Room|5bfc4f56f44f319b3ffe548f
40.315|-3.7343|127.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|AD|Travelrepublic|Travelrepublic|Madrid|Ibis Madrid Getafe|Standard Room|5bfc4f56f44f319b3ffe5490
40.5344|-3.6349|320.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Eurostars Gran Madrid Hotel|Standard Room|5bfc4f56f44f319b3ffe5491
40.5342|-3.6218|2007.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|AD|Travelrepublic|Travelrepublic|Madrid|Rafaelhoteles Madrid Norte|Junior Suite|5bfc4f56f44f319b3ffe5492
40.4731|-3.5852|151.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Tach Hotel|Double Room|5bfc4f56f44f319b3ffe5493
40.4582|-3.6944|190.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Eurobuilding 2 Hotel|Classic Suite|5bfc4f56f44f319b3ffe5494
40.3887|-3.7003|121.26|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Isis Hotel|Twin Room|5bfc4f56f44f319b3ffe5495
40.4216|-3.8042|228.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Ac La Finca Hotel|Standard Room|5bfc4f56f44f319b3ffe5496
40.2822|-3.8014|130.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|LCB Hotel Fuenlabrada|Standard Room|5bfc4f56f44f319b3ffe5497
40.4631|-3.6968|214.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Erase Un Hotel|Standard Room|5bfc4f56f44f319b3ffe5498
40.51261|-3.67576|108.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Dome Las Tablas|Standard Room|5bfc4f56f44f319b3ffe5499
40.3386|-3.7335|133.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Parquesur Hotel|Standard Room|5bfc4f56f44f319b3ffe549a
40.4509|-3.5945|148.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|NH Madrid Barajas Airport|Standard Room|5bfc4f56f44f319b3ffe549b
40.2742|-3.7576|97.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Ibis Madrid Fuenlabrada|Standard Room|5bfc4f56f44f319b3ffe549c
40.4698|-3.5808|179.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|AD|Travelrepublic|Travelrepublic|Madrid|Ibis Madrid Aeropuerto|Standard Room|5bfc4f56f44f319b3ffe549d
40.4472|-3.5425|139.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Crowne Plaza Madrid Airport|Deluxe Room|5bfc4f56f44f319b3ffe549e
40.5309|-3.6492|118.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Holiday Inn Express Madrid-Alcobendas|Standard Room|5bfc4f56f44f319b3ffe549f
40.4572|-3.6469|149.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Suites Feria De Madrid|Standard Room|5bfc4f56f44f319b3ffe54a0
40.3564|-3.8289|145.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Holiday Inn Express Madrid - Alcorcón|Standard Room|5bfc4f56f44f319b3ffe54a1
